"","X","FY","Division","Code","Month","MonthNumber","MonthSortKey","FND_CAT","Pillar","Numerator_Hours","Denominator_Hours","Rate"
"740",740,2018,250,"254","Mar","06--Mar",6,"MISSION","TSRA",0,208,0
"2212",2212,2019,240,"243","May","08--May",8,"MISSION","FTS",0,833.5,0
"4786",4786,2020,280,"286","Mar","06--Mar",6,"MISSION","FTS",0,1082,0
"1637",1637,2018,290,"295","Apr","07--Apr",7,"MISSION","FTS",291,506,0.575098814
"4604",4604,2020,280,"282","Mar","06--Mar",6,"MISSION","TSRA",0,94,0
"1183",1183,2018,280,"283","Jan","04--Jan",4,"MISSION","TSRA",144.5,328,0.44054878
"3305",3305,2019,290,"292","Jul","10--Jul",10,"MISSION","OVERHEAD",13,220,0.059090909
"830",830,2018,260,"261","Dec","03--Dec",3,"MISSION","CMO",0,144,0
"4578",4578,2020,280,"282","Apr","07--Apr",7,"MISSION","OVERHEAD",92.5,495.5,0.186680121
"2535",2535,2019,260,"260","Feb","05--Feb",5,"MISSION","OVERHEAD",0,132,0
"3289",3289,2019,290,"292","Dec","03--Dec",3,"MISSION","FTS",0,291,0
"563",563,2018,250,"251","Jan","04--Jan",4,"MISSION","FTS",38.5,1063,0.03621825
"445",445,2018,240,"242","Jan","04--Jan",4,"REIMB","REIMB",0,8,0
"4139",4139,2020,250,"253","Jun","09--Jun",9,"MISSION","CMO",0,0,0
"4571",4571,2020,280,"281","Oct","01--Oct",1,"MISSION","TSRA",0,56,0
"1259",1259,2018,280,"284","May","08--May",8,"MISSION","",36,91.5,0.393442623
"3295",3295,2019,290,"292","Feb","05--Feb",5,"MISSION","OVERHEAD",0,279,0
"1312",1312,2018,280,"285","Mar","06--Mar",6,"MISSION","TSRA",84,449.5,0.186874305
"3889",3889,2020,240,"242","Aug","11--Aug",11,"MISSION","TSRA",92,1187,0.077506318
"4535",4535,2020,280,"281","Apr","07--Apr",7,"MISSION","TSRA",0,85,0
"3848",3848,2020,240,"241","Jan","04--Jan",4,"REIMB","REIMB",0,1,0
"4095",4095,2020,250,"252","Nov","02--Nov",2,"MISSION","FTS",32.5,720,0.045138889
"1384",1384,2018,280,"287","Apr","07--Apr",7,"REIMB","REIMB",17,16,1.0625
"4859",4859,2020,290,"290","Mar","06--Mar",6,"MISSION","OVERHEAD",10,153,0.065359477
"4133",4133,2020,250,"253","Jan","04--Jan",4,"MISSION","UNIQ",0,133,0
"601",601,2018,250,"252","Apr","07--Apr",7,"MISSION","CMO",0,81,0
"4274",4274,2020,260,"260","Nov","02--Nov",2,"MISSION","OVERHEAD",0,131.5,0
"4314",4314,2020,260,"261","May","08--May",8,"MISSION","FTS",124,1840,0.067391304
"1488",1488,2018,290,"291","Oct","01--Oct",1,"MISSION","CMO",0,53,0
"858",858,2018,260,"261","May","08--May",8,"MISSION","FTS",60,1725,0.034782609
"392",392,2018,240,"241","Feb","05--Feb",5,"MISSION","TSRA",0,16,0
"4931",4931,2020,290,"292","Jul","10--Jul",10,"REIMB","REIMB",0,48,0
"4799",4799,2020,280,"286","Oct","01--Oct",1,"MISSION","FTS",209,580,0.360344828
"3726",3726,2020,220,"222","Feb","05--Feb",5,"MISSION","",0,24,0
"1357",1357,2018,280,"286","Jun","09--Jun",9,"MISSION","OVERHEAD",0,159,0
"4497",4497,2020,260,"264","Mar","06--Mar",6,"MISSION","TSRA",0,56,0
"3255",3255,2019,290,"291","Mar","06--Mar",6,"MISSION","FTS",141.5,1085.5,0.130354675
"1242",1242,2018,280,"284","Jan","04--Jan",4,"REIMB","REIMB",0,8,0
"2066",2066,2019,240,"240","Jun","09--Jun",9,"MISSION","OVERHEAD",12,140,0.085714286
"2029",2029,2019,220,"224","Aug","11--Aug",11,"REIMB","",27,723,0.037344398
"23",23,2018,200,"200A","Jun","09--Jun",9,"MISSION","OVERHEAD",6,136,0.044117647
"495",495,2018,240,"243","Jul","10--Jul",10,"MISSION","",0,0,0
"4751",4751,2020,280,"285","Oct","01--Oct",1,"MISSION","OVERHEAD",1.5,418,0.003588517
"1058",1058,2018,260,"264","Sep","12--Sep",12,"MISSION","TSRA",16,10,1.6
"3272",3272,2019,290,"291","Oct","01--Oct",1,"MISSION","TSRA",0,409,0
"397",397,2018,240,"241","Jan","04--Jan",4,"MISSION","TSRA",0,9,0
"710",710,2018,250,"253","Sep","12--Sep",12,"MISSION","TSRA",0,292,0
"3031",3031,2019,280,"284","May","08--May",8,"MISSION","OVERHEAD",14,572.5,0.024454148
"2782",2782,2019,260,"264","Mar","06--Mar",6,"MISSION","",18,68,0.264705882
"2445",2445,2019,250,"254","Feb","05--Feb",5,"MISSION","TSRA",0,291,0
"2031",2031,2019,220,"224","Dec","03--Dec",3,"MISSION","OVERHEAD",34.5,176,0.196022727
"3323",3323,2019,290,"292","May","08--May",8,"REIMB","",0,252,0
"2433",2433,2019,250,"254","Apr","07--Apr",7,"REIMB","",0,12,0
"280",280,2018,220,"223","Aug","11--Aug",11,"MISSION","CMO",38,448,0.084821429
"4444",4444,2020,260,"263","Nov","02--Nov",2,"MISSION","TSRA",83.5,264,0.316287879
"3716",3716,2020,220,"222","Apr","07--Apr",7,"MISSION","CMO",102,1785,0.057142857
"1906",1906,2019,220,"220","Aug","11--Aug",11,"MISSION","OVERHEAD",20,168,0.119047619
"1090",1090,2018,280,"281","Jun","09--Jun",9,"MISSION","FTS",54,1540.5,0.035053554
"4619",4619,2020,280,"282","Sep","12--Sep",12,"REIMB","REIMB",0,4,0
"793",793,2018,250,"255","May","08--May",8,"MISSION","CMO",0,50,0
"3912",3912,2020,240,"242","Mar","06--Mar",6,"MISSION","TSRA",108,1134.5,0.095196122
"4600",4600,2020,280,"282","Jun","09--Jun",9,"MISSION","TSRA",0,92,0
"593",593,2018,250,"251","Oct","01--Oct",1,"MISSION","FTS",131,1504.5,0.087072117
"2903",2903,2019,280,"282","Jun","09--Jun",9,"MISSION","OVERHEAD",16,328.5,0.04870624
"879",879,2018,260,"262","Apr","07--Apr",7,"MISSION","TSRA",80.5,432.5,0.186127168
"1588",1588,2018,290,"293","Oct","01--Oct",1,"MISSION","OVERHEAD",1,193.5,0.005167959
"794",794,2018,250,"255","May","08--May",8,"MISSION","FTS",2,982,0.00203666
"1101",1101,2018,280,"281","Nov","02--Nov",2,"MISSION","FTS",183,1655,0.110574018
"887",887,2018,260,"262","Dec","03--Dec",3,"MISSION","FTS",61,786,0.077608142
"2563",2563,2019,260,"261","Feb","05--Feb",5,"MISSION","TSRA",0,64,0
"1371",1371,2018,280,"286","Nov","02--Nov",2,"REIMB","REIMB",0,40,0
"699",699,2018,250,"253","Nov","02--Nov",2,"MISSION","FTS",36.5,810,0.045061728
"4755",4755,2020,280,"285","Sep","12--Sep",12,"MISSION","OVERHEAD",5,675.5,0.007401925
"1800",1800,2019,200,"205C","Jun","09--Jun",9,"MISSION","OVERHEAD",0,158,0
"1440",1440,2018,290,"290","May","08--May",8,"MISSION","OVERHEAD",2,139,0.014388489
"1532",1532,2018,290,"292","Mar","06--Mar",6,"MISSION","OVERHEAD",17.5,569.5,0.030728709
"2187",2187,2019,240,"243","Feb","05--Feb",5,"MISSION","FTS",32,824,0.038834951
"1843",1843,2019,210,"211","Jun","09--Jun",9,"MISSION","FTS",0,142,0
"176",176,2018,210,"213","Jun","09--Jun",9,"MISSION","OVERHEAD",0,512,0
"2175",2175,2019,240,"243","Aug","11--Aug",11,"MISSION","FTS",6,1025,0.005853659
"2450",2450,2019,250,"254","Jan","04--Jan",4,"MISSION","UNIQ",0,36,0
"4944",4944,2020,290,"292","May","08--May",8,"MISSION","TSRA",0,136,0
"2795",2795,2019,260,"264","Nov","02--Nov",2,"MISSION","CMO",226.5,598,0.378762542
"3765",3765,2020,220,"223","Jan","04--Jan",4,"MISSION","OVERHEAD",0,493,0
"3580",3580,2020,210,"210","Feb","05--Feb",5,"MISSION","OVERHEAD",3.5,130,0.026923077
"100",100,2018,210,"211","Aug","11--Aug",11,"MISSION","TSRA",68.5,1545.5,0.044322226
"2070",2070,2019,240,"240","Oct","01--Oct",1,"MISSION","OVERHEAD",3,173,0.01734104
"4729",4729,2020,280,"285","Jan","04--Jan",4,"MISSION","OVERHEAD",6,484,0.012396694
"4562",4562,2020,280,"281","May","08--May",8,"MISSION","FTS",19.5,2290,0.008515284
"4452",4452,2020,260,"263","Sep","12--Sep",12,"MISSION","FTS",24.5,168,0.145833333
"3400",3400,2019,290,"294","Feb","05--Feb",5,"MISSION","UNIQ",0,24,0
"4453",4453,2020,260,"263","Sep","12--Sep",12,"MISSION","OVERHEAD",35.3,711.5,0.049613493
"2282",2282,2019,250,"251","Mar","06--Mar",6,"MISSION","TSRA",0,337.5,0
"4251",4251,2020,250,"255","May","08--May",8,"MISSION","TSRA",0,475,0
"2788",2788,2019,260,"264","Mar","06--Mar",6,"REIMB","",104,252,0.412698413
"3112",3112,2019,280,"286","Dec","03--Dec",3,"MISSION","OVERHEAD",0,132,0
"1723",1723,2018,290,"296","May","08--May",8,"MISSION","TSRA",0,149,0
"4353",4353,2020,260,"262","Feb","05--Feb",5,"REIMB","REIMB",0,104,0
"77",77,2018,200,"205C","Jun","09--Jun",9,"MISSION","OVERHEAD",0,144,0
"2691",2691,2019,260,"263","Feb","05--Feb",5,"MISSION","OVERHEAD",28.5,294.5,0.096774194
"38",38,2018,200,"200A1","Jun","09--Jun",9,"MISSION","OVERHEAD",0,152,0
"4072",4072,2020,250,"252","Jan","04--Jan",4,"REIMB","REIMB",0,36,0
"342",342,2018,220,"224","Nov","02--Nov",2,"MISSION","OVERHEAD",37.5,301.5,0.124378109
"3591",3591,2020,210,"211","Apr","07--Apr",7,"MISSION","TSRA",6,1888,0.003177966
"549",549,2018,250,"251","Aug","11--Aug",11,"MISSION","FTS",1,1203,0.000831255
"3005",3005,2019,280,"284","Feb","05--Feb",5,"MISSION","FTS",0,230,0
"3581",3581,2020,210,"210","Jan","04--Jan",4,"MISSION","OVERHEAD",0,131,0
"2334",2334,2019,250,"252","Jul","10--Jul",10,"MISSION","TSRA",144,375,0.384
"3681",3681,2020,220,"221","Aug","11--Aug",11,"REIMB","REIMB",49,347,0.141210375
"788",788,2018,250,"255","Mar","06--Mar",6,"MISSION","CMO",0,69,0
"531",531,2018,250,"250","Dec","03--Dec",3,"MISSION","OVERHEAD",0,2,0
"2981",2981,2019,280,"283","Oct","01--Oct",1,"MISSION","TSRA",33.1,300,0.110333333
"1454",1454,2018,290,"291","Dec","03--Dec",3,"MISSION","OVERHEAD",0,151.5,0
"1854",1854,2019,210,"211","May","08--May",8,"MISSION","OVERHEAD",9,209.5,0.042959427
"3276",3276,2019,290,"291","Sep","12--Sep",12,"MISSION","OVERHEAD",0,147,0
"2107",2107,2019,240,"241","Nov","02--Nov",2,"MISSION","CMO",7,98,0.071428571
"51",51,2018,200,"205A","Jun","09--Jun",9,"MISSION","OVERHEAD",63,1404.5,0.044855821
"4069",4069,2020,250,"252","Jan","04--Jan",4,"MISSION","FTS",67,1190,0.056302521
"901",901,2018,260,"262","Jul","10--Jul",10,"MISSION","CMO",0,27,0
"4193",4193,2020,250,"254","Jun","09--Jun",9,"MISSION","OVERHEAD",21,370,0.056756757
"2641",2641,2019,260,"262","Jul","10--Jul",10,"MISSION","UNIQ",0,30,0
"3209",3209,2019,280,"287","Sep","12--Sep",12,"MISSION","TSRA",7.5,173,0.043352601
"2428",2428,2019,250,"253","Sep","12--Sep",12,"MISSION","TSRA",0,409,0
"1410",1410,2018,280,"287","Mar","06--Mar",6,"MISSION","CMO",0,71,0
"2141",2141,2019,240,"242","Jan","04--Jan",4,"REIMB","",0,101,0
"1151",1151,2018,280,"282","Nov","02--Nov",2,"MISSION","OVERHEAD",6,127,0.047244094
"4790",4790,2020,280,"286","Mar","06--Mar",6,"REIMB","REIMB",0,110,0
"4603",4603,2020,280,"282","Mar","06--Mar",6,"MISSION","OVERHEAD",16,319.5,0.050078247
"605",605,2018,250,"252","Apr","07--Apr",7,"REIMB","REIMB",0,5,0
"3527",3527,2020,200,"200A","Nov","02--Nov",2,"MISSION","OVERHEAD",4.2,132,0.031818182
"3645",3645,2020,210,"212","Jun","09--Jun",9,"MISSION","OVERHEAD",0,1179,0
"1500",1500,2018,290,"292","Apr","07--Apr",7,"REIMB","REIMB",30,290,0.103448276
"311",311,2018,220,"224","Apr","07--Apr",7,"REIMB","REIMB",10.2,137,0.074452555
"5101",5101,2020,290,"296","Aug","11--Aug",11,"MISSION","FTS",56.5,1891,0.029878371
"3001",3001,2019,280,"284","Dec","03--Dec",3,"MISSION","OVERHEAD",1,430.5,0.00232288
"4783",4783,2020,280,"286","Jun","09--Jun",9,"MISSION","FTS",8,1511.5,0.005292756
"80",80,2018,200,"205C","Nov","02--Nov",2,"MISSION","OVERHEAD",0,152,0
"380",380,2018,240,"241","Aug","11--Aug",11,"MISSION","OVERHEAD",40.5,298,0.13590604
"346",346,2018,220,"224","Oct","01--Oct",1,"MISSION","FTS",5,45,0.111111111
"4773",4773,2020,280,"286","Feb","05--Feb",5,"REIMB","",1.5,4,0.375
"2852",2852,2019,280,"281","Jun","09--Jun",9,"MISSION","UNIQ",0,97,0
"1214",1214,2018,280,"283","Sep","12--Sep",12,"MISSION","OVERHEAD",12.5,311.5,0.040128411
"4169",4169,2020,250,"254","Apr","07--Apr",7,"MISSION","FTS",215,966,0.222567288
"4338",4338,2020,260,"262","Apr","07--Apr",7,"MISSION","TSRA",0,104,0
"4913",4913,2020,290,"292","Aug","11--Aug",11,"MISSION","TSRA",0,144,0
"2095",2095,2019,240,"241","Jul","10--Jul",10,"MISSION","TSRA",0,11,0
"3911",3911,2020,240,"242","Mar","06--Mar",6,"MISSION","OVERHEAD",4.5,178,0.025280899
"2126",2126,2019,240,"242","Dec","03--Dec",3,"MISSION","",0,0,0
"3807",3807,2020,220,"224","Oct","01--Oct",1,"MISSION","OVERHEAD",16,99.5,0.16080402
"2290",2290,2019,250,"251","Nov","02--Nov",2,"MISSION","FTS",43,889.5,0.048341765
"5082",5082,2020,290,"295","May","08--May",8,"MISSION","OVERHEAD",0,694,0
"4406",4406,2020,260,"263","Dec","03--Dec",3,"MISSION","FTS",438.2,870,0.503678161
"3218",3218,2019,290,"290","Mar","06--Mar",6,"MISSION","OVERHEAD",28,168,0.166666667
"84",84,2018,210,"210","Aug","11--Aug",11,"MISSION","OVERHEAD",0,156,0
"4227",4227,2020,250,"255","Dec","03--Dec",3,"MISSION","OVERHEAD",28,161,0.173913043
"2657",2657,2019,260,"262","May","08--May",8,"REIMB","",0,19,0
"912",912,2018,260,"262","Mar","06--Mar",6,"MISSION","OVERHEAD",0,165.5,0
"3929",3929,2020,240,"243","Apr","07--Apr",7,"MISSION","FTS",0,638,0
"4768",4768,2020,280,"286","Dec","03--Dec",3,"MISSION","TSRA",76,148,0.513513514
"1602",1602,2018,290,"294","Dec","03--Dec",3,"MISSION","TSRA",0,427,0
"850",850,2018,260,"261","Jun","09--Jun",9,"MISSION","TSRA",0,4,0
"1807",1807,2019,210,"210","Aug","11--Aug",11,"MISSION","OVERHEAD",0,136,0
"3159",3159,2019,280,"287","Apr","07--Apr",7,"MISSION","OVERHEAD",0,126.5,0
"4390",4390,2020,260,"262","Oct","01--Oct",1,"MISSION","TSRA",60.5,232,0.260775862
"4640",4640,2020,280,"283","Jul","10--Jul",10,"MISSION","OVERHEAD",0,978.5,0
"4621",4621,2020,280,"283","Apr","07--Apr",7,"MISSION","OVERHEAD",0,1095,0
"3531",3531,2020,200,"200A1","Dec","03--Dec",3,"MISSION","OVERHEAD",0,24,0
"1866",1866,2019,210,"212","Apr","07--Apr",7,"MISSION","FTS",0,0,0
"2050",2050,2019,220,"224","May","08--May",8,"REIMB","",15.5,674.5,0.022979985
"3639",3639,2020,210,"212","Feb","05--Feb",5,"MISSION","OVERHEAD",48.5,1001,0.048451548
"4157",4157,2020,250,"253","Nov","02--Nov",2,"MISSION","UNIQ",100.5,365,0.275342466
"2362",2362,2019,250,"252","Sep","12--Sep",12,"MISSION","FTS",140.5,1037,0.135486982
"1890",1890,2019,210,"212","Oct","01--Oct",1,"MISSION","OVERHEAD",0,1123,0
"2684",2684,2019,260,"263","Dec","03--Dec",3,"MISSION","FTS",141.5,380.5,0.371879106
"780",780,2018,250,"255","Jul","10--Jul",10,"MISSION","FTS",43,518,0.083011583
"279",279,2018,220,"223","Apr","07--Apr",7,"REIMB","REIMB",0,1,0
"4546",4546,2020,280,"281","Feb","05--Feb",5,"MISSION","TSRA",0,154,0
"39",39,2018,200,"200A1","Mar","06--Mar",6,"MISSION","OVERHEAD",0,173,0
"4517",4517,2020,260,"264","Sep","12--Sep",12,"MISSION","FTS",540.5,1577,0.342739379
"3360",3360,2019,290,"293","Jul","10--Jul",10,"MISSION","TSRA",0,225,0
"4766",4766,2020,280,"286","Dec","03--Dec",3,"MISSION","FTS",181,808.5,0.223871367
"4819",4819,2020,280,"287","Feb","05--Feb",5,"MISSION","FTS",6,318,0.018867925
"5033",5033,2020,290,"294","Nov","02--Nov",2,"MISSION","FTS",56,853,0.065650645
"4519",4519,2020,260,"264","Sep","12--Sep",12,"MISSION","TSRA",8,138,0.057971014
"1266",1266,2018,280,"284","Nov","02--Nov",2,"MISSION","OVERHEAD",22,102.5,0.214634146
"4054",4054,2020,250,"252","Aug","11--Aug",11,"MISSION","TSRA",0,356,0
"28",28,2018,200,"200A","Nov","02--Nov",2,"MISSION","OVERHEAD",0,144,0
"3375",3375,2019,290,"293","Nov","02--Nov",2,"MISSION","TSRA",0,206,0
"4642",4642,2020,280,"283","Jun","09--Jun",9,"MISSION","FTS",21.5,886,0.024266366
"866",866,2018,260,"261","Nov","02--Nov",2,"REIMB","REIMB",64,48,1.333333333
"2303",2303,2019,250,"251","Sep","12--Sep",12,"MISSION","TSRA",0,497.5,0
"3570",3570,2020,200,"205C","Jun","09--Jun",9,"MISSION","OVERHEAD",0,168,0
"2831",2831,2019,280,"281","Aug","11--Aug",11,"MISSION","UNIQ",0,186,0
"1206",1206,2018,280,"283","Nov","02--Nov",2,"REIMB","REIMB",175.5,108,1.625
"3982",3982,2020,250,"250","Mar","06--Mar",6,"MISSION","OVERHEAD",20,320,0.0625
"2283",2283,2019,250,"251","Mar","06--Mar",6,"MISSION","UNIQ",0,2,0
"4514",4514,2020,260,"264","Oct","01--Oct",1,"MISSION","TSRA",0,158,0
"1919",1919,2019,220,"221","Apr","07--Apr",7,"REIMB","",78.5,390,0.201282051
"1227",1227,2018,280,"284","Aug","11--Aug",11,"REIMB","REIMB",166,179,0.927374302
"2159",2159,2019,240,"242","Nov","02--Nov",2,"MISSION","OVERHEAD",0,206,0
"3285",3285,2019,290,"292","Aug","11--Aug",11,"MISSION","FTS",81,434,0.186635945
"73",73,2018,200,"205C","Feb","05--Feb",5,"MISSION","OVERHEAD",5,148,0.033783784
"3875",3875,2020,240,"241","Oct","01--Oct",1,"MISSION","OVERHEAD",59,1036,0.056949807
"4108",4108,2020,250,"252","Sep","12--Sep",12,"REIMB","REIMB",0,35,0
"1223",1223,2018,280,"284","Aug","11--Aug",11,"MISSION","",1,13,0.076923077
"3917",3917,2020,240,"242","May","08--May",8,"REIMB","REIMB",0,311,0
"1160",1160,2018,280,"282","Sep","12--Sep",12,"MISSION","OVERHEAD",2,256,0.0078125
"1743",1743,2019,200,"200A","May","08--May",8,"MISSION","OVERHEAD",4.2,159,0.026415094
"3676",3676,2020,220,"221","Apr","07--Apr",7,"MISSION","CMO",101,2767.5,0.036495032
"4639",4639,2020,280,"283","Jul","10--Jul",10,"MISSION","FTS",28,679.5,0.04120677
"2315",2315,2019,250,"252","Dec","03--Dec",3,"MISSION","CMO",0,128,0
"995",995,2018,260,"263","Sep","12--Sep",12,"REIMB","REIMB",5,106,0.047169811
"2077",2077,2019,240,"241","Aug","11--Aug",11,"MISSION","FTS",0,171,0
"4900",4900,2020,290,"291","Oct","01--Oct",1,"MISSION","OVERHEAD",4,170,0.023529412
"1017",1017,2018,260,"264","Jan","04--Jan",4,"MISSION","FTS",320.5,667,0.480509745
"2796",2796,2019,260,"264","Nov","02--Nov",2,"MISSION","FTS",237,722,0.328254848
"24",24,2018,200,"200A","Mar","06--Mar",6,"MISSION","CMO",7,0,0
"334",334,2018,220,"224","Mar","06--Mar",6,"MISSION","CMO",108.3,1289,0.084018619
"2750",2750,2019,260,"264","Dec","03--Dec",3,"MISSION","FTS",245,578,0.423875433
"991",991,2018,260,"263","Sep","12--Sep",12,"MISSION","CMO",18,196,0.091836735
"2373",2373,2019,250,"253","Aug","11--Aug",11,"MISSION","FTS",10,210.5,0.047505938
"4964",4964,2020,290,"293","Aug","11--Aug",11,"MISSION","TSRA",0,156,0
"2647",2647,2019,260,"262","Jun","09--Jun",9,"REIMB","",42.5,69,0.615942029
"4016",4016,2020,250,"251","Jul","10--Jul",10,"MISSION","TSRA",0,387.5,0
"34",34,2018,200,"200A1","Dec","03--Dec",3,"MISSION","OVERHEAD",0,144,0
"2417",2417,2019,250,"253","Nov","02--Nov",2,"MISSION","OVERHEAD",18.5,934.5,0.019796683
"809",809,2018,250,"255","Sep","12--Sep",12,"MISSION","OVERHEAD",14,130,0.107692308
"412",412,2018,240,"241","Mar","06--Mar",6,"REIMB","REIMB",0,36,0
"1661",1661,2018,290,"295","Jul","10--Jul",10,"MISSION","CMO",55,782.5,0.07028754
"4411",4411,2020,260,"263","Feb","05--Feb",5,"MISSION","FTS",316,611,0.517184943
"917",917,2018,260,"262","May","08--May",8,"MISSION","FTS",0,1036.5,0
"1945",1945,2019,220,"221","May","08--May",8,"REIMB","",78.5,306,0.256535948
"1503",1503,2018,290,"292","Aug","11--Aug",11,"MISSION","FTS",67.5,865,0.078034682
"4097",4097,2020,250,"252","Nov","02--Nov",2,"MISSION","TSRA",108.5,742.5,0.146127946
"4985",4985,2020,290,"293","Mar","06--Mar",6,"MISSION","OVERHEAD",1,537.5,0.001860465
"3164",3164,2019,280,"287","Aug","11--Aug",11,"MISSION","TSRA",0,146,0
"2883",2883,2019,280,"282","Aug","11--Aug",11,"REIMB","",0,0,0
"3758",3758,2020,220,"223","Apr","07--Apr",7,"MISSION","OVERHEAD",0,575,0
"2701",2701,2019,260,"263","Jul","10--Jul",10,"MISSION","FTS",57.5,744,0.077284946
"2597",2597,2019,260,"261","Nov","02--Nov",2,"MISSION","TSRA",0,192,0
"1147",1147,2018,280,"282","May","08--May",8,"MISSION","OVERHEAD",0,264,0
"3450",3450,2019,290,"295","Jul","10--Jul",10,"MISSION","FTS",2,213,0.009389671
"4824",4824,2020,280,"287","Jan","04--Jan",4,"MISSION","FTS",22,481.5,0.04569055
"3435",3435,2019,290,"295","Aug","11--Aug",11,"MISSION","OVERHEAD",3.5,403.5,0.008674102
"398",398,2018,240,"241","Jan","04--Jan",4,"REIMB","REIMB",0,94,0
"2227",2227,2019,240,"243","Sep","12--Sep",12,"MISSION","OVERHEAD",0,317,0
"1078",1078,2018,280,"281","Feb","05--Feb",5,"MISSION","OVERHEAD",34,142,0.23943662
"2673",2673,2019,260,"263","Apr","07--Apr",7,"MISSION","CMO",27.8,101,0.275247525
"567",567,2018,250,"251","Jul","10--Jul",10,"MISSION","CMO",0,156,0
"4443",4443,2020,260,"263","Nov","02--Nov",2,"MISSION","OVERHEAD",41,217,0.188940092
"3505",3505,2019,290,"296","Mar","06--Mar",6,"MISSION","TSRA",0,483,0
"1428",1428,2018,280,"287","Sep","12--Sep",12,"MISSION","OVERHEAD",8,132,0.060606061
"4711",4711,2020,280,"284","Sep","12--Sep",12,"MISSION","FTS",0,286.5,0
"1684",1684,2018,290,"295","Nov","02--Nov",2,"MISSION","TSRA",153,372,0.411290323
"2681",2681,2019,260,"263","Aug","11--Aug",11,"MISSION","TSRA",11,236,0.046610169
"450",450,2018,240,"242","Jul","10--Jul",10,"REIMB","REIMB",0,50,0
"2493",2493,2019,250,"255","Feb","05--Feb",5,"MISSION","TSRA",44,475,0.092631579
"1630",1630,2018,290,"294","Oct","01--Oct",1,"MISSION","OVERHEAD",0,167,0
"738",738,2018,250,"254","Mar","06--Mar",6,"MISSION","FTS",39,1452,0.026859504
"3169",3169,2019,280,"287","Dec","03--Dec",3,"MISSION","TSRA",0,16,0
"4272",4272,2020,260,"260","Mar","06--Mar",6,"MISSION","OVERHEAD",0,153,0
"602",602,2018,250,"252","Apr","07--Apr",7,"MISSION","FTS",30.5,989,0.030839232
"918",918,2018,260,"262","May","08--May",8,"MISSION","OVERHEAD",0,291,0
"3779",3779,2020,220,"224","Aug","11--Aug",11,"MISSION","CMO",71,1479,0.048005409
"1719",1719,2018,290,"296","Mar","06--Mar",6,"MISSION","OVERHEAD",0,222,0
"1237",1237,2018,280,"284","Feb","05--Feb",5,"REIMB","REIMB",0,22,0
"1399",1399,2018,280,"287","Jan","04--Jan",4,"MISSION","FTS",7.5,542,0.013837638
"4480",4480,2020,260,"264","Jan","04--Jan",4,"MISSION","OVERHEAD",0,213.5,0
"4680",4680,2020,280,"284","Feb","05--Feb",5,"MISSION","TSRA",0,377.5,0
"2953",2953,2019,280,"283","Jul","10--Jul",10,"MISSION","FTS",192.5,1103,0.174524025
"4242",4242,2020,250,"255","Jun","09--Jun",9,"MISSION","OVERHEAD",32,307,0.104234528
"238",238,2018,220,"222","Apr","07--Apr",7,"REIMB","REIMB",61,168,0.363095238
"3873",3873,2020,240,"241","Oct","01--Oct",1,"MISSION","CMO",0,75,0
"4414",4414,2020,260,"263","Feb","05--Feb",5,"REIMB","REIMB",0,194,0
"4567",4567,2020,280,"281","Nov","02--Nov",2,"MISSION","TSRA",0,150,0
"2124",2124,2019,240,"242","Aug","11--Aug",11,"MISSION","OVERHEAD",0,317,0
"2653",2653,2019,260,"262","May","08--May",8,"MISSION","FTS",15,788,0.019035533
"3632",3632,2020,210,"212","Apr","07--Apr",7,"MISSION","",0,58,0
"2906",2906,2019,280,"282","Mar","06--Mar",6,"MISSION","",0,8,0
"2714",2714,2019,260,"263","Mar","06--Mar",6,"REIMB","",47,183,0.256830601
"767",767,2018,250,"255","Dec","03--Dec",3,"MISSION","OVERHEAD",12,82,0.146341463
"4130",4130,2020,250,"253","Jan","04--Jan",4,"MISSION","FTS",0,158,0
"717",717,2018,250,"254","Dec","03--Dec",3,"MISSION","CMO",0,16,0
"423",423,2018,240,"241","Oct","01--Oct",1,"MISSION","",0,0,0
"683",683,2018,250,"253","Jun","09--Jun",9,"MISSION","CMO",0,809,0
"3133",3133,2019,280,"286","Jun","09--Jun",9,"MISSION","TSRA",24,181.5,0.132231405
"3768",3768,2020,220,"223","Mar","06--Mar",6,"MISSION","CMO",0,128,0
"3346",3346,2019,290,"293","Dec","03--Dec",3,"MISSION","FTS",72.5,651.5,0.111281658
"921",921,2018,260,"262","May","08--May",8,"REIMB","REIMB",7,100.5,0.069651741
"4759",4759,2020,280,"286","Apr","07--Apr",7,"MISSION","OVERHEAD",0,208,0
"4025",4025,2020,250,"251","Mar","06--Mar",6,"MISSION","OVERHEAD",32.5,461.5,0.070422535
"4333",4333,2020,260,"261","Sep","12--Sep",12,"REIMB","",0,8,0
"1124",1124,2018,280,"282","Dec","03--Dec",3,"MISSION","OVERHEAD",0,49.5,0
"307",307,2018,220,"223","Sep","12--Sep",12,"MISSION","CMO",0,109,0
"1225",1225,2018,280,"284","Aug","11--Aug",11,"MISSION","OVERHEAD",6.5,712.5,0.009122807
"713",713,2018,250,"254","Apr","07--Apr",7,"MISSION","TSRA",0,441,0
"1082",1082,2018,280,"281","Jan","04--Jan",4,"MISSION","OVERHEAD",1.5,29.5,0.050847458
"3019",3019,2019,280,"284","Jul","10--Jul",10,"REIMB","",59,80,0.7375
"3934",3934,2020,240,"243","Aug","11--Aug",11,"MISSION","TSRA",0,154,0
